,sensors_Torque_cmd,sensors_TV_delta_torque,sensors_TC_Tmax_FL,sensors_TC_Tmax_FR,sensors_TC_Tmax_RL,sensors_TC_Tmax_RR,MISC_Pos_Trq_Limit_FL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_RR
0.0,-0.0,0.0,97.010595,99.335034,148.643584,150.968023,0.0,0.0,0.869464,0.93803
0.01,-0.0,0.0,97.078664,99.32506,148.648508,150.894892,0.0,0.0,0.017615,0.018435
0.02,-0.0,0.0,97.064869,99.311227,148.658815,150.905179,0.0,0.0,0.017529,0.018318
0.03,-0.061584,0.0,97.085382,99.316141,148.654641,150.885401,0.0,0.0,0.867763,0.932526
0.04,-0.0,0.0,97.097382,99.296997,148.680446,150.880055,0.0,0.0,0.0,0.0
0.05,-0.0,0.0,97.103663,99.272154,148.713218,150.881709,0.0,0.0,0.867866,0.931238
0.06,-0.0,0.0,97.064393,99.279741,148.712682,150.928036,0.0,0.0,0.869402,0.931903
0.07,-0.0,0.0,97.04042,99.271437,148.727289,150.9583,0.0,0.0,0.870474,0.934413
0.08,-0.060345,0.0,97.006774,99.269013,148.731251,150.99349,0.0,0.0,0.871944,0.936406
0.09,-0.060345,0.0,97.028191,99.259206,148.740019,150.971047,0.0,0.0,0.0,0.0
0.1,-0.0,0.0,96.989157,99.282537,148.71255,151.00593,0.0,0.0,0.0,0.0
0.11,-0.0,0.0,96.956585,99.312334,148.679246,151.034995,0.0,0.0,0.872754,0.939114
0.12,-0.0,0.0,96.951551,99.338466,148.648354,151.03527,0.0,0.0,0.871932,0.940131
0.13,-0.0,0.0,96.985758,99.35696,148.617994,150.989184,0.0,0.0,0.870415,0.939489
0.14,-0.0,0.0,97.005146,99.376209,148.584784,150.955853,0.0,0.0,0.867826,0.936325
0.15,-0.0,0.0,97.014409,99.385394,148.567537,150.938517,0.0,0.0,0.86557,0.933975
0.16,-0.0,0.0,97.000644,99.38724,148.566316,150.952912,0.0,0.0,0.864437,0.932794
0.17,-0.0,0.0,97.027251,99.367131,148.59463,150.934521,0.0,0.0,0.864783,0.933622
0.18,-0.0,0.0,97.058341,99.367091,148.60251,150.911266,0.0,0.0,0.86543,0.932897
0.19,-0.0,0.0,97.064906,99.358174,148.624144,150.917407,0.0,0.0,0.017485,0.018296
0.2,-0.0,0.0,97.064906,99.358174,148.624144,150.917407,0.0,0.0,0.865612,0.931692
0.21,-0.0,0.0,97.05188,99.314011,148.674515,150.936647,0.0,0.0,0.865612,0.931692
0.22,-0.0,0.0,97.037239,99.314943,148.671957,150.949662,0.0,0.0,0.0,0.0
0.23,-0.0,0.0,97.002861,99.342901,148.635884,150.975936,0.0,0.0,0.0,0.0
0.24,-0.0,0.0,97.004369,99.35992,148.610894,150.966446,0.0,0.0,0.868247,0.93583
0.25,-0.0,0.0,96.973932,99.376279,148.592441,150.994793,0.0,0.0,0.866914,0.934908
0.26,-0.0,0.0,96.993605,99.380333,148.586982,150.97371,0.0,0.0,0.866846,0.93624
0.27,-0.0,0.0,96.959505,99.4242,148.539766,151.004454,0.0,0.0,0.0,0.0
0.28,-0.0,0.0,96.970056,99.450348,148.512907,150.993199,0.0,0.0,0.864397,0.93556
0.29,-0.0,0.0,96.968788,99.417915,148.549838,150.998965,0.0,0.0,0.862571,0.934125
0.3,-0.0,0.0,97.041022,99.349803,148.623147,150.931934,0.0,0.0,0.864619,0.935324
0.31,-0.0,0.0,97.043574,99.36791,148.599767,150.924104,0.0,0.0,0.86644,0.933016
0.32,-0.0,0.0,97.070469,99.363575,148.601202,150.894302,0.0,0.0,0.865123,0.932113
0.33,-0.0,0.0,97.029296,99.369225,148.597762,150.937702,0.0,0.0,0.0,0.0
0.34,-0.0,0.0,97.035608,99.344407,148.630582,150.939388,0.0,0.0,0.865462,0.932932
0.35,-0.0,0.0,97.015826,99.355885,148.624306,150.964359,0.0,0.0,0.866995,0.933594
0.36,-0.0,0.0,97.005281,99.392143,148.589146,150.976008,0.0,0.0,0.867171,0.934711
0.37,-0.0,0.0,96.935447,99.447074,148.531078,151.042706,0.0,0.0,0.017541,0.018428
0.38,-0.0,0.0,96.892794,99.451216,148.525363,151.083785,0.0,0.0,0.017541,0.018428
0.39,-0.0,0.0,96.905818,99.448608,148.525435,151.068231,0.0,0.0,0.0,0.0
0.4,-0.0,0.0,96.921127,99.432705,148.540592,151.05217,0.0,0.0,0.865096,0.938635
0.41,-0.0,0.0,96.930563,99.426578,148.550899,151.046909,0.0,0.0,0.865486,0.938103
0.42,-0.0,0.0,96.936234,99.401126,148.58274,151.047626,0.0,0.0,0.86571,0.937868
0.43,-0.0,0.0,96.955735,99.405003,148.577016,151.026284,0.0,0.0,0.86723,0.938516
0.44,-0.0,0.0,97.014416,99.354442,148.622147,150.962166,0.0,0.0,0.017584,0.01845
0.45,-0.0,0.0,97.036146,99.329315,148.642979,150.936149,0.0,0.0,0.867148,0.934687
0.46,-0.0,0.0,97.036921,99.314466,148.655738,150.933289,0.0,0.0,0.0,0.0
0.47,-0.0,0.0,97.035085,99.32823,148.641354,150.934499,0.0,0.0,0.86845,0.934171
0.48,-0.0,0.0,97.072608,99.350122,148.616069,150.893584,0.0,0.0,0.867703,0.933862
0.49,-0.0,0.0,97.049367,99.373693,148.592921,150.917248,0.0,0.0,0.864575,0.931543
0.5,-0.0,0.0,97.024672,99.333507,148.645281,150.95411,0.0,0.0,0.864575,0.931543
0.51,-0.0,0.0,96.97515,99.330903,148.660492,151.016239,0.0,0.0,0.017598,0.018412
0.52,-0.0,0.0,96.974129,99.298736,148.697836,151.022443,0.0,0.0,0.017688,0.018522
0.53,-0.0,0.0,96.937975,99.309376,148.686352,151.057741,0.0,0.0,0.872363,0.939644
0.54,-0.0,0.0,96.949394,99.274004,148.72284,151.04745,0.0,0.0,0.01778,0.018622
0.55,-0.0,0.0,96.932328,99.272471,148.71657,151.056707,0.0,0.0,0.874542,0.941909
0.56,-0.0,0.0,96.972789,99.281571,148.691611,151.0004,0.0,0.0,0.874838,0.942684
0.57,-0.0,0.0,97.002664,99.326913,148.631432,150.955681,0.0,0.0,0.017745,0.018563
0.58,-0.0,0.0,97.014338,99.385322,148.567429,150.938407,0.0,0.0,0.017611,0.018431
0.59,-0.0,0.0,97.010976,99.428782,148.527527,150.945333,0.0,0.0,0.017494,0.018328
